alignment,ba,bna,category,corpus,dnmalignment,docId,nba,nbna,replierId,speakerId
0.2231435513142097,1,1,quant,SCOTUS,0.09999999999999998,13-461.xml,1,2,FREDE,SCAL
-0.916290731874155,0,1,tentat,SCOTUS,-0.2,13-461.xml,3,1,FREDE,SCAL
0.6931471805599452,0,0,we,SCOTUS,0.0,13-461.xml,1,4,FREDE,SCAL
0.8754687373538999,2,0,you,SCOTUS,0.2666666666666666,13-461.xml,1,2,FREDE,SCAL
-0.10536051565782628,5,1,article,SCOTUS,-0.04166666666666663,13-461.xml,3,0,CLEME,SOTO
0.18232155679395456,2,3,certain,SCOTUS,0.11111111111111105,13-461.xml,1,3,CLEME,SOTO
0.4462871026284194,4,1,conj,SCOTUS,0.11111111111111105,13-461.xml,2,2,CLEME,SOTO
-0.10536051565782634,1,4,discrep,SCOTUS,-0.05555555555555558,13-461.xml,1,3,CLEME,SOTO
0.040821994520255145,4,2,excl,SCOTUS,0.0,13-461.xml,2,1,CLEME,SOTO
0.28768207245178085,5,1,i,SCOTUS,0.04761904761904767,13-461.xml,2,1,CLEME,SOTO
0.4462871026284194,4,1,incl,SCOTUS,0.11111111111111105,13-461.xml,2,2,CLEME,SOTO
0.4462871026284194,4,1,ipron,SCOTUS,0.11111111111111105,13-461.xml,2,2,CLEME,SOTO
-0.18232155679395456,3,2,negate,SCOTUS,-0.05555555555555558,13-461.xml,3,1,CLEME,SOTO
0.10536051565782634,4,1,preps,SCOTUS,0.015873015873015817,13-461.xml,3,1,CLEME,SOTO
0.47000362924573547,2,2,quant,SCOTUS,0.2222222222222222,13-461.xml,1,4,CLEME,SOTO
0.4462871026284194,4,1,tentat,SCOTUS,0.11111111111111105,13-461.xml,2,2,CLEME,SOTO
1.1631508098056806,1,0,we,SCOTUS,0.2222222222222222,13-461.xml,2,6,CLEME,SOTO
-0.7985076962177716,0,4,you,SCOTUS,-0.4444444444444444,13-461.xml,2,3,CLEME,SOTO
0.5877866649021191,2,0,article,SCOTUS,0.16666666666666663,13-461.xml,1,1,FREDE,SOTO
0.6931471805599453,1,0,certain,SCOTUS,0.25,13-461.xml,1,2,FREDE,SOTO
0.5877866649021191,2,0,conj,SCOTUS,0.16666666666666663,13-461.xml,1,1,FREDE,SOTO
-0.5108256237659905,0,0,discrep,SCOTUS,0.0,13-461.xml,3,1,FREDE,SOTO
-1.0986122886681096,0,2,excl,SCOTUS,-0.5,13-461.xml,2,0,FREDE,SOTO
0.5877866649021191,2,0,incl,SCOTUS,0.16666666666666663,13-461.xml,1,1,FREDE,SOTO
0.5877866649021191,2,0,ipron,SCOTUS,0.16666666666666663,13-461.xml,1,1,FREDE,SOTO
0.6931471805599453,1,0,quant,SCOTUS,0.25,13-461.xml,1,2,FREDE,SOTO
-0.1823215567939548,0,1,tentat,SCOTUS,-0.25,13-461.xml,1,2,FREDE,SOTO
0.5877866649021191,2,0,you,SCOTUS,0.16666666666666663,13-461.xml,1,1,FREDE,SOTO
-0.6931471805599453,0,1,certain,SCOTUS,-0.25,12-872.xml,2,1,SCODR,ALIT
-0.10536051565782628,2,1,discrep,SCOTUS,-0.08333333333333337,12-872.xml,1,0,SCODR,ALIT
-0.10536051565782628,2,1,i,SCOTUS,-0.08333333333333337,12-872.xml,1,0,SCODR,ALIT
0.4054651081081644,2,1,incl,SCOTUS,0.25,12-872.xml,0,1,SCODR,ALIT
-0.6931471805599453,0,1,quant,SCOTUS,-0.25,12-872.xml,2,1,SCODR,ALIT
-0.10536051565782628,2,1,tentat,SCOTUS,-0.08333333333333337,12-872.xml,1,0,SCODR,ALIT
0.10536051565782628,1,2,we,SCOTUS,0.25,12-872.xml,0,1,SCODR,ALIT
-0.5108256237659905,0,0,you,SCOTUS,0.0,12-872.xml,3,1,SCODR,ALIT
0.0,9,1,article,SCOTUS,-0.02197802197802201,12-872.xml,4,0,THEOB,ALIT
-0.22314355131420993,1,4,certain,SCOTUS,-0.10714285714285715,12-872.xml,3,6,THEOB,ALIT
0.2231435513142097,4,4,conj,SCOTUS,0.09523809523809523,12-872.xml,2,4,THEOB,ALIT
0.4054651081081644,2,1,discrep,SCOTUS,0.07142857142857142,12-872.xml,5,6,THEOB,ALIT
0.06453852113757119,3,2,excl,SCOTUS,0.01785714285714285,12-872.xml,5,4,THEOB,ALIT
0.04652001563489283,3,5,i,SCOTUS,0.02857142857142858,12-872.xml,2,4,THEOB,ALIT
0.0,1,6,incl,SCOTUS,0.0,12-872.xml,1,6,THEOB,ALIT
0.2972515234679315,6,1,ipron,SCOTUS,0.045454545454545414,12-872.xml,5,2,THEOB,ALIT
-0.22314355131420982,3,4,negate,SCOTUS,-0.07142857142857145,12-872.xml,4,3,THEOB,ALIT
0.0,5,2,preps,SCOTUS,0.0,12-872.xml,5,2,THEOB,ALIT
-0.13353139262452252,0,3,quant,SCOTUS,-0.21428571428571427,12-872.xml,2,9,THEOB,ALIT
-0.6931471805599452,0,3,tentat,SCOTUS,-0.21428571428571427,12-872.xml,4,7,THEOB,ALIT
0.26236426446749117,1,3,we,SCOTUS,0.047619047619047616,12-872.xml,2,8,THEOB,ALIT
0.6931471805599452,1,1,you,SCOTUS,0.10714285714285715,12-872.xml,3,9,THEOB,ALIT
0.0,0,0,certain,SCOTUS,0.0,12-872.xml,1,1,THEOB,BREY
0.6931471805599454,1,0,conj,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
0.0,0,0,discrep,SCOTUS,0.0,12-872.xml,1,1,THEOB,BREY
0.6931471805599454,1,0,excl,SCOTUS,0.5,12-872.xml,0,1,THEOB,BREY
